date,ticker,sent,weight,conf
2021-09-03,1306.T,0.8658,0.435,0.9351
2021-09-03,1306.T,0.5165,0.6524,0.3581
2021-09-03,1306.T,0.8433,1.3358,0.9326
2021-09-08,1306.T,1.0,1.0571,0.7868
2021-09-08,1306.T,0.7642,1.2855,0.9011
2021-09-09,1306.T,0.3501,1.3207,0.5174
2021-09-09,1306.T,0.5681,2.3422,0.134
2021-09-27,1306.T,0.3706,1.3407,0.6315
2021-09-29,1306.T,-0.3268,0.3006,0.895
2021-09-29,1306.T,-0.6213,0.7883,0.4932
2021-09-29,1306.T,0.1589,0.5765,0.8629
2021-10-01,1306.T,-0.6604,1.2295,0.8944
2021-10-01,1306.T,-0.5481,0.2858,0.5146
2021-10-04,1306.T,-0.7965,0.8165,0.7817
2021-10-04,1306.T,-0.5019,1.3607,0.3837
2021-10-13,1306.T,0.6309,1.8068,0.4933
2021-10-13,1306.T,-0.191,0.9471,0.6184
2021-10-13,1306.T,0.7835,2.7138,0.6336
2021-10-14,1306.T,1.0,0.3761,0.9078
2021-10-14,1306.T,0.3187,0.6594,0.941
2021-10-14,1306.T,0.2648,2.772,0.4174
2021-10-15,1306.T,0.1804,1.2071,0.5351
2021-10-19,1306.T,0.4303,1.24,0.6245
2021-10-19,1306.T,0.896,0.435,0.05
2021-10-26,1306.T,0.1077,0.3025,0.677
2021-10-27,1306.T,-0.2872,4.3853,0.797
2021-10-27,1306.T,-0.0388,0.499,0.6982
2021-10-27,1306.T,-0.1567,0.4858,0.8802
2021-10-27,1306.T,0.0181,0.6582,0.1237
2021-10-28,1306.T,0.8339,1.3996,0.5311
2021-11-08,1306.T,0.1806,0.7119,0.4993
2021-11-09,1306.T,-1.0,0.4626,0.2874
2021-11-10,1306.T,-0.5828,0.4827,0.5818
2021-11-11,1306.T,-0.4398,0.3781,0.4017
2021-11-16,1306.T,0.3943,1.8475,0.3423
2021-11-16,1306.T,0.4875,0.8606,0.5217
2021-11-17,1306.T,-0.0511,0.2259,0.3512
2021-11-17,1306.T,0.176,0.4894,0.8004
2021-11-29,1306.T,-0.5017,1.3134,0.3958
2021-12-07,1306.T,0.6987,1.0495,0.4025
2021-12-09,1306.T,0.3199,0.3678,0.9324
2021-12-09,1306.T,0.9295,2.3335,0.8555
2021-12-09,1306.T,0.7016,1.3545,0.7815
2021-12-09,1306.T,0.4693,1.1898,0.5384
2021-12-10,1306.T,-0.2382,0.6805,0.7321
2021-12-10,1306.T,-0.5802,0.2255,0.6411
2021-12-10,1306.T,-0.7749,1.3727,0.8334
2021-12-14,1306.T,0.4807,1.0289,0.7838
2021-12-14,1306.T,0.9265,1.9759,0.5736
2021-12-15,1306.T,-0.0903,1.4049,0.4612
2021-12-15,1306.T,-0.4508,1.9442,0.5002
2021-12-16,1306.T,0.2281,0.838,0.5588
2021-12-16,1306.T,-0.1564,0.3916,0.2453
2021-12-16,1306.T,-0.6432,0.2558,0.561
2021-12-16,1306.T,0.1233,2.3151,0.4194
2021-12-22,1306.T,-0.1996,0.36,0.7613
2021-12-24,1306.T,0.5014,0.2221,0.5443
2021-12-24,1306.T,-0.0339,4.5075,0.6341
2021-12-24,1306.T,0.0263,1.4314,0.7067
2021-12-24,1306.T,-0.3786,0.9321,0.6979
2022-01-04,1306.T,0.6542,0.3946,0.5985
2022-01-04,1306.T,0.4864,1.386,0.9024
2022-01-04,1306.T,0.4746,0.3356,0.4175
2022-01-04,1306.T,0.3881,0.9186,0.8175
2022-01-14,1306.T,-0.6951,1.3032,0.4183
2022-01-14,1306.T,0.4244,2.8629,0.4651
2022-01-25,1306.T,-0.4561,0.7409,0.8862
2022-01-28,1306.T,-0.5491,0.7638,0.6438
2022-02-15,1306.T,0.1482,1.7193,0.3367
2022-02-15,1306.T,-0.4006,0.5029,0.7254
2022-02-15,1306.T,-0.5684,0.8494,0.8647
2022-02-24,1306.T,-0.7435,0.4242,0.6893
2022-02-24,1306.T,-1.0,0.8324,0.2931
2022-03-02,1306.T,-0.2134,1.0923,0.85
2022-03-15,1306.T,0.8609,1.6139,0.568
2022-03-15,1306.T,0.3679,2.8373,0.7619
2022-03-15,1306.T,0.5618,1.085,0.6925
2022-03-16,1306.T,0.7925,0.5489,0.6316
2022-03-17,1306.T,0.3529,0.8102,0.537
2022-03-29,1306.T,0.7142,0.7354,0.7105
2022-03-29,1306.T,0.6441,0.6381,0.7044
2022-03-31,1306.T,-0.6907,0.4547,0.2217
2022-03-31,1306.T,-0.2904,0.3988,0.4709
2022-04-13,1306.T,-0.8013,0.7765,0.6893
2022-04-18,1306.T,-0.5449,0.4765,0.9254
2022-04-19,1306.T,0.1146,0.5831,0.1993
2022-04-21,1306.T,-0.2956,0.2349,0.0947
2022-04-21,1306.T,0.6384,1.3893,0.6304
2022-04-27,1306.T,-0.3934,0.5305,0.5105
2022-04-27,1306.T,-0.0609,0.4489,0.6547
2022-04-27,1306.T,-0.6521,0.2355,0.4241
2022-04-27,1306.T,-0.7868,1.2733,0.3641
2022-04-28,1306.T,-0.2532,1.8901,0.568
2022-05-10,1306.T,-0.1895,3.6549,0.4698
2022-05-10,1306.T,-0.6846,1.8902,0.8538
2022-05-10,1306.T,0.7216,1.9336,0.7098
2022-05-10,1306.T,0.1106,1.9668,0.5917
2022-05-13,1306.T,-0.0272,0.1083,0.4214
2022-05-13,1306.T,-0.3173,1.572,0.759
2022-05-13,1306.T,-0.0421,0.5442,0.8396
2022-05-13,1306.T,-0.1201,1.2641,0.2258
2022-05-16,1306.T,0.1195,8.746,0.5055
2022-05-16,1306.T,-0.2951,0.4378,0.9053
2022-05-16,1306.T,-0.149,0.8168,0.6305
2022-05-16,1306.T,0.0524,0.7401,0.5856
2022-05-17,1306.T,0.1879,0.4059,0.6285
2022-05-17,1306.T,0.3461,1.3825,0.2707
2022-05-31,1306.T,0.4343,0.4806,0.6178
2022-06-01,1306.T,0.7846,0.3237,0.7826
2022-06-01,1306.T,0.3799,1.7432,0.6524
2022-06-09,1306.T,0.7438,1.0227,0.5114
2022-06-15,1306.T,-0.9222,0.4756,0.4272
2022-06-23,1306.T,-0.2116,1.2612,0.8679
2022-06-24,1306.T,1.0,1.0753,0.6761
2022-06-24,1306.T,0.039,1.4445,0.9031
2022-06-24,1306.T,-0.1617,0.2431,0.6334
2022-06-24,1306.T,0.271,0.8779,0.4728
2022-06-30,1306.T,0.2842,0.6108,0.8066
2022-06-30,1306.T,-0.1648,1.2946,0.6812
2022-07-01,1306.T,-0.2892,1.4903,0.0784
2022-07-04,1306.T,-0.8731,0.2603,0.4307
2022-07-14,1306.T,-0.2106,1.6386,0.5286
2022-07-15,1306.T,0.3864,1.958,0.4272
2022-07-15,1306.T,-0.1456,0.5259,0.9126
2022-07-15,1306.T,0.2741,0.7465,0.5265
2022-07-15,1306.T,0.7609,0.8899,0.7171
2022-07-19,1306.T,0.1196,0.2809,0.5577
2022-07-19,1306.T,-0.6446,0.3643,0.954
2022-07-20,1306.T,0.5291,0.2734,0.3537
2022-07-20,1306.T,0.0856,0.3237,0.5206
2022-07-25,1306.T,0.9267,0.3206,0.4757
2022-07-25,1306.T,0.4079,0.7356,0.6625
2022-07-28,1306.T,0.1772,1.0379,0.681
2022-07-28,1306.T,-0.8454,3.5693,0.8613
2022-08-01,1306.T,-0.3369,1.4955,0.4733
2022-08-01,1306.T,0.1363,2.5488,0.6855
2022-08-01,1306.T,0.3657,0.7345,0.5087
2022-08-01,1306.T,0.4411,1.1084,0.8509
2022-08-01,1306.T,0.595,0.5729,0.5971
2022-08-16,1306.T,0.7379,0.5995,0.6575
2022-08-16,1306.T,0.6136,0.6519,0.4383
2022-08-19,1306.T,-0.196,0.6739,0.5932
2022-08-24,1306.T,-0.7232,1.1066,0.4141
2022-08-24,1306.T,-0.0022,0.3269,0.3247
2022-08-24,1306.T,-0.6979,0.6548,0.6424
2022-08-24,1306.T,-0.4438,0.3155,0.809
2022-08-29,1306.T,-0.2169,0.5381,0.6228
2022-08-29,1306.T,-0.7229,0.6095,0.3294
2022-09-02,1306.T,-0.8184,0.891,0.6046
2022-09-02,1306.T,-0.6083,1.0593,0.2292
2022-09-02,1306.T,-0.9217,1.1836,0.2934
2022-09-13,1306.T,0.5333,1.2449,0.6326
2022-09-14,1306.T,0.4539,0.7838,0.5519
2022-09-14,1306.T,0.6353,0.2097,0.2551
2022-09-28,1306.T,-0.4456,3.4801,0.3429
2022-09-28,1306.T,-1.0,1.3933,0.6546
2022-10-04,1306.T,-0.1905,1.0265,0.3142
2022-10-04,1306.T,0.6036,0.787,0.8094
2022-10-06,1306.T,0.9742,2.2689,0.6919
2022-10-06,1306.T,0.3501,1.2074,0.8148
2022-10-17,1306.T,0.2095,0.6939,0.5822
2022-10-21,1306.T,-0.2389,0.628,0.4252
2022-10-21,1306.T,-0.3397,2.3562,0.5923
2022-10-24,1306.T,-0.9345,2.5915,0.05
2022-10-24,1306.T,-0.4266,0.4169,0.5679
2022-10-24,1306.T,-0.3308,0.6272,0.3213
2022-10-24,1306.T,-0.0547,0.5013,0.5333
2022-10-24,1306.T,-0.3201,0.5817,0.4654
2022-10-26,1306.T,-0.148,0.4832,0.4599
2022-11-08,1306.T,0.2438,0.5557,0.6948
2022-11-08,1306.T,0.6052,0.8281,0.3071
2022-11-10,1306.T,0.5463,1.4784,0.6338
2022-11-14,1306.T,-0.1462,1.3669,0.5297
2022-11-14,1306.T,0.4671,1.2752,0.2803
2022-11-17,1306.T,-0.0732,2.5884,0.425
2022-11-17,1306.T,0.3121,3.5686,0.7552
2022-12-07,1306.T,-0.2865,1.803,0.7431
2022-12-19,1306.T,-0.6365,2.5273,0.859
2022-12-19,1306.T,-0.3804,0.235,0.8145
2022-12-20,1306.T,-0.175,0.9745,0.7419
2022-12-20,1306.T,-1.0,0.8112,0.6298
2022-12-23,1306.T,-0.8903,1.1351,0.7528
2023-01-12,1306.T,0.156,1.8543,0.3469
2023-01-12,1306.T,0.1265,1.1842,0.5165
2023-01-30,1306.T,0.7317,1.0816,0.8021
2023-01-30,1306.T,0.2347,1.2204,0.5259
2023-02-01,1306.T,-0.4216,2.1154,0.5714
2023-02-01,1306.T,-0.388,0.423,0.5884
2023-02-06,1306.T,0.4312,1.6599,0.8106
2023-02-10,1306.T,0.375,0.7418,0.9658
2023-02-10,1306.T,0.1213,0.6875,0.7284
2023-02-10,1306.T,-0.1858,1.0299,0.672
2023-02-28,1306.T,-0.3702,1.0112,0.7364
2023-02-28,1306.T,-0.0345,0.5408,0.8211
2023-02-28,1306.T,-0.0142,1.5895,0.7726
2023-02-28,1306.T,-0.5174,3.5476,0.4685
2023-03-01,1306.T,0.3635,1.4827,0.6691
2023-03-01,1306.T,0.4416,0.4364,0.9637
2023-03-01,1306.T,-0.3803,1.3042,0.5544
2023-03-02,1306.T,0.3446,1.8804,0.626
2023-03-06,1306.T,1.0,0.6458,0.2501
2023-03-06,1306.T,0.5002,1.4432,0.3311
2023-03-07,1306.T,0.9091,0.7109,0.397
2023-03-08,1306.T,0.319,0.4907,0.0917
2023-03-14,1306.T,-0.2673,1.0458,0.7294
2023-03-27,1306.T,0.3792,0.4859,0.3436
2023-03-27,1306.T,0.0589,9.1518,0.5867
2023-03-30,1306.T,0.9673,1.8213,0.7055
2023-03-30,1306.T,0.0268,0.1739,0.4367
2023-03-30,1306.T,0.9911,0.45,0.2205
2023-03-31,1306.T,0.9077,0.4146,0.3289
2023-04-04,1306.T,0.4791,1.7285,0.399
2023-04-04,1306.T,0.6444,0.2083,0.6556
2023-04-04,1306.T,0.2542,0.7022,0.4828
2023-04-04,1306.T,1.0,1.2522,0.3997
2023-04-04,1306.T,0.0835,1.2619,0.6662
2023-04-06,1306.T,0.004,0.1554,0.122
2023-04-06,1306.T,-0.1763,2.477,0.8258
2023-04-06,1306.T,-0.7444,2.2752,0.4913
2023-04-06,1306.T,-0.5557,1.2475,0.7254
2023-04-10,1306.T,-0.5551,1.85,0.7796
2023-04-10,1306.T,-0.6844,0.7201,0.7376
2023-04-11,1306.T,-0.707,0.57,0.2835
2023-04-11,1306.T,-0.2852,0.6915,0.4429
2023-04-18,1306.T,0.4174,1.0895,0.7212
2023-04-18,1306.T,0.2118,1.8455,0.1991
2023-04-18,1306.T,-0.31,0.645,0.7223
2023-04-18,1306.T,0.627,2.649,0.6727
2023-04-20,1306.T,0.3597,1.9039,0.631
2023-04-27,1306.T,-0.7043,4.5469,0.762
2023-04-28,1306.T,0.1673,2.3083,0.3647
2023-04-28,1306.T,0.3966,1.3857,0.5751
2023-04-28,1306.T,0.1193,5.0355,0.7034
2023-05-11,1306.T,0.4423,0.4708,0.9227
2023-05-11,1306.T,0.8411,1.6685,0.7885
2023-05-11,1306.T,-0.24,0.4625,0.8856
2023-05-11,1306.T,0.0151,1.3124,0.6628
2023-05-11,1306.T,0.1538,1.6476,0.3935
2023-05-19,1306.T,0.6246,2.5681,0.5048
2023-05-19,1306.T,0.0871,0.2633,0.7784
2023-06-01,1306.T,0.5352,0.5203,0.7901
2023-06-01,1306.T,0.0239,2.4897,0.7861
2023-06-13,1306.T,1.0,0.4292,0.4305
2023-06-15,1306.T,0.4907,0.7574,0.3418
2023-06-15,1306.T,0.6407,0.9842,0.2876
2023-06-15,1306.T,0.9055,0.8256,0.5783
2023-06-19,1306.T,0.4801,0.2453,0.9136
2023-06-19,1306.T,0.0694,0.9506,0.3957
2023-06-19,1306.T,0.4816,1.3697,0.7119
2023-06-27,1306.T,-0.3006,0.4017,0.5731
2023-06-27,1306.T,0.0893,0.4194,0.9135
2023-07-05,1306.T,-0.2566,0.8285,0.9195
2023-07-05,1306.T,-0.217,0.2414,0.5793
2023-07-05,1306.T,0.0156,1.8218,0.9109
2023-07-05,1306.T,0.4516,0.3836,0.576
2023-07-05,1306.T,-0.1691,0.2743,0.6402
2023-07-07,1306.T,-0.6889,0.8772,0.4486
2023-07-07,1306.T,-0.4405,0.4454,0.7127
2023-07-07,1306.T,-0.4687,1.0785,0.7232
2023-07-25,1306.T,0.5738,0.4559,0.2294
2023-07-26,1306.T,-0.1923,0.7471,0.5486
2023-07-27,1306.T,-0.2059,1.2701,0.7007
2023-07-27,1306.T,0.9781,4.6627,0.3055
2023-08-02,1306.T,0.4198,0.5876,0.5681
2023-08-02,1306.T,0.5053,0.8833,0.7419
2023-08-02,1306.T,0.7151,0.9524,0.7907
2023-08-02,1306.T,0.3852,0.5343,0.957
2023-08-10,1306.T,-0.4605,0.3472,0.4574
2023-08-18,1306.T,-0.6815,0.7665,0.499
2023-08-24,1306.T,0.5824,0.6387,0.4757
2023-08-24,1306.T,0.3138,2.4945,0.522
2023-08-31,1306.T,-0.0125,2.0745,0.7662
2023-09-11,1306.T,0.2643,0.5465,0.8677
2023-09-12,1306.T,0.1966,1.7875,0.6406
2023-09-12,1306.T,-0.0661,0.1336,0.1645
2023-09-12,1306.T,0.1133,4.7624,0.3415
2023-09-12,1306.T,0.0587,0.278,0.4909
2023-09-13,1306.T,-0.391,0.9048,0.5353
2023-09-13,1306.T,-0.1849,1.2305,0.196
2023-09-13,1306.T,0.4386,1.1943,0.5409
2023-09-13,1306.T,0.7201,0.6782,0.1894
2023-09-14,1306.T,0.5593,0.8055,0.7647
2023-09-14,1306.T,0.2297,2.203,0.3491
2023-09-14,1306.T,-0.5274,0.3752,0.8732
2023-09-14,1306.T,0.1928,1.8014,0.33
2023-09-14,1306.T,0.3884,0.374,0.5808
2023-09-14,1306.T,0.1546,0.5128,0.627
2023-09-21,1306.T,0.5388,2.2182,0.4737
2023-09-27,1306.T,0.1913,1.1728,0.8731
2023-09-29,1306.T,0.0424,1.1808,0.1766
2023-10-02,1306.T,-0.5709,0.4119,0.7303
2023-10-02,1306.T,-0.8142,0.4847,0.4331
2023-10-03,1306.T,-0.9691,2.8944,0.4042
2023-10-04,1306.T,-0.8073,1.8343,0.7784
2023-10-04,1306.T,-0.3975,3.6429,0.5945
2023-10-05,1306.T,-0.3698,1.5479,0.6566
2023-10-05,1306.T,-0.8646,1.3442,0.6929
2023-10-05,1306.T,-0.7947,0.4066,0.6834
2023-10-06,1306.T,-0.3845,0.7274,0.6855
2023-10-06,1306.T,-0.3901,1.2416,0.49
2023-10-11,1306.T,0.0184,0.9596,0.5755
2023-10-18,1306.T,-0.7116,1.9947,0.5734
2023-10-18,1306.T,-0.6195,0.5657,0.8913
2023-10-18,1306.T,-0.3483,0.7514,0.5519
2023-10-18,1306.T,-0.5084,0.9115,0.7723
2023-10-26,1306.T,-0.24,2.263,0.5404
2023-10-27,1306.T,0.4399,5.9732,0.7237
2023-10-27,1306.T,-0.6285,1.2264,0.5331
2023-10-31,1306.T,-0.0128,3.3464,0.5319
2023-11-06,1306.T,0.4194,1.2308,0.5924
2023-11-14,1306.T,-0.1,3.7264,0.4493
2023-11-14,1306.T,0.2423,3.6311,0.6002
2023-11-20,1306.T,-0.087,2.1573,0.2904
2023-12-06,1306.T,0.4285,1.4244,0.5787
2023-12-06,1306.T,0.933,2.1203,0.6547
2023-12-07,1306.T,-0.0917,2.3868,0.8215
2023-12-07,1306.T,0.1308,0.2766,0.431
2023-12-07,1306.T,-0.0407,1.5971,0.6723
2023-12-07,1306.T,-0.1522,0.2213,0.6088
2023-12-11,1306.T,0.5623,1.8696,0.3119
2023-12-11,1306.T,0.1604,0.4802,0.4824
2023-12-14,1306.T,-0.4862,0.4423,0.9607
2023-12-15,1306.T,-0.3337,1.0243,0.5489
2023-12-21,1306.T,0.2682,0.7998,0.4114
2023-12-26,1306.T,-0.146,0.4236,0.528
2023-12-26,1306.T,0.2432,0.4852,0.6717
2023-12-26,1306.T,0.3215,0.5653,0.902
2024-01-04,1306.T,-0.4192,0.1983,0.8259
2024-01-04,1306.T,0.3894,2.1287,0.6333
2024-01-25,1306.T,0.3245,1.0525,0.6221
2024-01-25,1306.T,0.6507,0.6501,0.4864
2024-01-25,1306.T,0.5606,3.2202,0.6767
2024-01-25,1306.T,0.5785,1.0849,0.6841
2024-01-29,1306.T,0.2344,1.5532,0.875
2024-01-29,1306.T,0.2492,1.0148,0.3715
2024-01-29,1306.T,0.157,2.3752,0.6942
2024-01-29,1306.T,-0.5734,0.4657,0.3415
2024-01-31,1306.T,0.2507,3.7378,0.4903
2024-01-31,1306.T,0.3729,0.3279,0.4491
2024-01-31,1306.T,0.3504,0.9531,0.7506
2024-01-31,1306.T,0.0849,0.2813,0.3921
2024-01-31,1306.T,-0.3449,0.9142,0.6053
2024-02-19,1306.T,0.9415,0.5441,0.8693
2024-02-20,1306.T,0.3383,1.5919,0.4574
2024-02-20,1306.T,0.1354,3.0193,0.9209
2024-02-21,1306.T,0.4516,0.9437,0.4551
2024-02-26,1306.T,0.3662,0.9519,0.8284
2024-03-06,1306.T,0.2014,0.2417,0.5655
2024-03-07,1306.T,0.553,0.9694,0.7904
2024-03-12,1306.T,-0.3279,0.8086,0.8087
2024-03-12,1306.T,-0.4722,5.0414,0.4189
2024-03-28,1306.T,0.3495,1.0422,0.6549
2024-03-28,1306.T,0.0891,1.3209,0.7548
2024-03-28,1306.T,-0.1239,1.3798,0.5814
2024-03-28,1306.T,-0.1257,0.4146,0.232
2024-03-28,1306.T,0.0694,0.2131,0.6081
2024-03-28,1306.T,-0.3695,1.0658,0.4877
2024-04-08,1306.T,0.5081,0.5316,0.725
2024-04-08,1306.T,0.0414,0.4901,0.4009
2024-04-09,1306.T,0.2433,1.0666,0.3555
2024-04-09,1306.T,0.4541,1.2519,0.4624
2024-04-09,1306.T,0.2595,3.0331,0.5977
2024-04-09,1306.T,0.0372,1.7526,0.8568
2024-04-10,1306.T,-0.2892,0.5455,0.0796
2024-04-10,1306.T,-0.317,2.0544,0.5535
2024-04-24,1306.T,0.4348,1.6036,0.4471
2024-04-30,1306.T,0.7002,2.3926,0.3768
2024-05-08,1306.T,0.8406,0.3781,0.2944
2024-05-17,1306.T,-0.1139,0.8382,0.9828
2024-05-17,1306.T,0.2038,0.924,0.7218
2024-05-17,1306.T,0.0622,2.5068,0.4615
2024-05-17,1306.T,0.043,2.1534,0.7876
2024-05-24,1306.T,0.4596,1.2529,0.7431
2024-05-24,1306.T,-0.5253,0.9321,0.6411
2024-05-24,1306.T,-0.0742,8.9496,0.63
2024-05-28,1306.T,0.0687,0.7214,0.5486
2024-05-28,1306.T,0.64,0.2534,0.2043
2024-05-30,1306.T,-0.6671,1.3791,0.7146
2024-05-30,1306.T,-0.3905,3.0811,0.788
2024-06-04,1306.T,-0.6764,0.4295,0.7974
2024-06-04,1306.T,0.3673,1.699,0.7264
2024-06-06,1306.T,0.062,0.3477,0.249
2024-06-06,1306.T,0.306,1.3718,0.841
2024-06-06,1306.T,0.2329,2.0354,0.9094
2024-06-25,1306.T,0.9206,0.9603,0.7726
2024-07-01,1306.T,-0.1537,0.5445,0.8508
2024-07-11,1306.T,0.2998,1.2064,0.7582
2024-07-17,1306.T,0.3949,0.7512,0.5033
2024-07-29,1306.T,-0.5328,0.5947,0.2611
2024-08-09,1306.T,-0.0466,0.7735,0.5511
2024-08-09,1306.T,-0.9251,0.4917,0.3445
2024-08-09,1306.T,-0.3165,0.3755,0.4364
2024-08-09,1306.T,-0.3286,5.8071,0.645
2024-08-13,1306.T,0.7893,0.868,0.6422
2024-08-13,1306.T,0.7979,1.5804,0.7326
2024-08-13,1306.T,1.0,1.6016,0.421
2024-08-13,1306.T,0.7675,1.1562,0.6841
2024-08-14,1306.T,0.8481,0.8796,0.8754
2024-08-27,1306.T,0.09,0.5421,0.8121
2024-08-27,1306.T,0.3547,1.4177,0.5505
2024-08-27,1306.T,0.7161,0.7548,0.5141
2024-08-27,1306.T,0.0789,1.5636,0.5981
2024-08-30,1306.T,-0.0695,1.797,0.3221
2024-09-03,1306.T,0.1018,1.3229,0.719
2024-09-03,1306.T,0.4406,0.4461,0.7235
2024-09-11,1306.T,-0.8733,0.6391,0.4906
2024-09-11,1306.T,-1.0,0.3456,0.7231
2024-10-01,1306.T,0.5485,0.1864,0.4712
2024-10-03,1306.T,-0.329,5.4594,0.6486
2024-10-03,1306.T,0.3728,0.5094,0.9471
2024-10-11,1306.T,0.4096,2.454,0.5069
2024-10-17,1306.T,0.0566,10.0,0.3374
2024-10-17,1306.T,0.5493,0.5858,0.617
2024-10-17,1306.T,0.3595,2.6737,0.6561
2024-10-17,1306.T,0.091,1.0252,0.6335
2024-10-17,1306.T,-0.1427,1.188,0.45
2024-10-18,1306.T,0.2002,3.3498,0.3713
2024-10-18,1306.T,-0.5064,2.0021,0.6729
2024-10-18,1306.T,0.2143,0.863,0.3269
2024-10-18,1306.T,-0.0531,0.7338,0.7711
2024-10-25,1306.T,-0.5192,1.3925,0.7202
2024-10-25,1306.T,-0.4474,1.4346,0.3156
2024-11-06,1306.T,-0.5716,1.2983,0.5545
2024-11-07,1306.T,-0.1066,10.0,0.8116
2024-11-07,1306.T,-0.1016,0.7019,0.6546
2024-11-13,1306.T,-0.0136,0.6861,0.9388
2024-11-19,1306.T,-0.1549,0.3099,0.3042
2024-11-19,1306.T,-0.3428,4.7767,0.727
2024-11-19,1306.T,-0.9513,2.1706,0.6987
2024-11-19,1306.T,-0.7302,0.6238,0.2823
2024-11-19,1306.T,-0.7158,0.8995,0.2583
2024-11-21,1306.T,0.0632,0.2717,0.6128
2024-11-21,1306.T,-0.4738,0.3947,0.7316
2024-11-25,1306.T,0.1119,2.7622,0.5418
2024-11-25,1306.T,0.6407,0.8975,0.7361
2024-11-26,1306.T,-0.6305,0.5732,0.414
2024-11-26,1306.T,-0.199,0.3026,0.5133
2024-11-26,1306.T,-0.0697,4.6014,0.5924
2024-11-26,1306.T,-0.4698,1.3054,0.4121
2024-11-27,1306.T,0.2578,1.0054,0.775
2024-12-02,1306.T,0.1477,0.9582,0.5964
2024-12-02,1306.T,0.0099,0.7773,0.8107
2024-12-03,1306.T,0.5566,1.2289,0.4622
2024-12-10,1306.T,-0.1676,4.0863,0.6733
2024-12-10,1306.T,-0.5361,0.6819,0.2992
2024-12-12,1306.T,0.0037,3.6012,0.8465
2024-12-16,1306.T,0.3446,1.9104,0.8965
2024-12-16,1306.T,0.2853,0.4296,0.646
2024-12-20,1306.T,0.2941,0.3015,0.7813
2024-12-20,1306.T,-0.7212,1.7375,0.953
2024-12-24,1306.T,-0.0573,2.7027,0.4667
2024-12-30,1306.T,0.6191,0.5558,0.5729
2024-12-30,1306.T,-0.6819,1.1539,0.8363
2024-12-30,1306.T,0.3578,3.72,0.4846
2025-01-07,1306.T,0.882,0.7896,0.4404
2025-01-07,1306.T,0.2707,1.9715,0.8218
2025-01-07,1306.T,0.5584,1.8325,0.6713
2025-01-07,1306.T,1.0,1.8114,0.5234
2025-01-10,1306.T,0.2427,0.7131,0.2616
2025-01-10,1306.T,-0.8051,8.8909,0.6994
2025-01-14,1306.T,-0.1961,0.572,0.7879
2025-01-14,1306.T,-0.8838,1.2848,0.6387
2025-01-17,1306.T,-0.6746,1.1457,0.4104
2025-01-17,1306.T,-0.5637,1.1234,0.59
2025-01-17,1306.T,-0.7376,0.273,0.6974
2025-01-17,1306.T,-0.0969,2.839,0.8324
2025-01-20,1306.T,0.0753,2.8769,0.8218
2025-01-20,1306.T,0.5439,1.0841,0.6484
2025-02-05,1306.T,0.0516,0.6758,0.1929
2025-02-10,1306.T,-0.0891,3.703,0.6781
2025-02-10,1306.T,-0.8458,0.4842,0.563
